faction,rank,kind,detachments,sources,dp_cost,chapter_lock,force_dispositions,score_total,score_primary,score_secondary,score_inventory,score_rule_stratagem,score_enhancement,score_flexibility,coverage_pct,confidence,supported,partial,unsupported
Dark Angels,95,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,78.75,90.31,89.47,82.53,57.76,62.32,80.6,33.33,low,0,10,8
Dark Angels,96,combination,DARK AGE ARSENAL + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,78.63,85.42,87.88,94.53,49.41,62.27,91.27,42.88,medium,1,11,5
Dark Angels,97,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,78.56,87.79,87.4,94.53,61.56,33.67,91.27,20,low,0,4,8
Dark Angels,98,combination,DARK AGE ARSENAL + SUBVERSION ASSETS,Dark Angels + Dark Angels,2,Dark Angels,DISRUPTION + PRIORITY ASSETS,78.53,85.04,87.1,90.03,58.9,59.36,80.56,48.34,medium,1,8,3
Dark Angels,99,combination,DARKFLIGHT PURSUIT + INNER CIRCLE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,78.4,89.5,88.01,76.53,64.85,64.61,75.27,42.28,low,0,13,4
Dark Angels,100,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,78.35,89.6,89.25,85.53,54.6,62.89,76.13,53.33,medium,0,16,2
Dark Angels,101,combination,DARKFLIGHT PURSUIT + IRONSTORM SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,78.3,89.4,88.6,76.53,62.88,66.24,75.27,34.09,low,0,10,7
Dark Angels,102,combination,DARKFLIGHT PURSUIT + FIRESTORM ASSAULT FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,78.28,89.5,88.01,76.53,62.94,67.22,75.27,36.82,low,0,11,6
Dark Angels,103,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,78.2,86.22,87.61,91.53,62.93,39.57,84.13,35.56,low,1,9,8
Dark Angels,104,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,78.15,85.15,87.27,94.53,47.89,62.59,91.27,33.34,low,1,5,6
Dark Angels,105,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,78.07,89.54,89.36,88.53,47.26,65.04,83.27,43.33,medium,0,13,5
Dark Angels,106,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,77.96,86.26,87.79,94.53,55.59,41.73,91.27,25.56,low,1,6,11
Dark Angels,107,combination,DARKFLIGHT PURSUIT + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.93,89.48,88.87,76.53,59.44,68.64,75.27,28.64,low,0,8,9
Dark Angels,108,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.65,90.24,89.08,82.53,64.05,39.88,80.6,26.67,low,0,8,10
Dark Angels,109,combination,DARKFLIGHT PURSUIT + ORBITAL ASSAULT FORCE,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.64,87.79,87.4,76.53,59.51,72.63,75.27,28.64,low,0,8,9
Dark Angels,110,combination,ANVIL SIEGE FORCE + DARKFLIGHT PURSUIT,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.57,89.4,88.6,76.53,62.41,59.85,75.27,31.37,low,0,9,8
Dark Angels,111,combination,INNER CIRCLE TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,77.37,88.21,87.88,85.53,49.08,68.69,79.27,57.28,medium,0,16,1
Dark Angels,112,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,77.28,88.63,88.12,85.53,47.12,70.32,79.27,49.09,medium,0,13,4
Dark Angels,113,combination,1ST COMPANY TASK FORCE + DARKFLIGHT PURSUIT,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + RECONNAISSANCE,77.27,88.98,88.65,76.53,62.86,55.81,77.07,39.55,low,0,12,5
Dark Angels,114,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,77.25,88.21,87.88,85.53,47.18,71.31,79.27,51.82,medium,0,14,3
Dark Angels,115,combination,DARKFLIGHT PURSUIT + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.2,89.4,88.6,76.53,60.59,59.82,75.27,35,low,0,7,5
Dark Angels,116,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,77.16,87.36,88.98,82.53,54.94,59.16,80.6,35.56,low,1,9,8
Dark Angels,117,combination,BASTION TASK FORCE + DARKFLIGHT PURSUIT,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.02,88.68,88.31,76.53,63.76,53.84,75.27,28.64,low,0,8,9
Dark Angels,118,combination,LIBRARIUS CONCLAVE + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,77.01,88.71,88.76,85.53,43.67,72.72,79.27,43.64,medium,0,11,6
Dark Angels,119,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,76.98,89.47,88.98,88.53,53.54,42.6,83.27,36.67,low,0,11,7
Dark Angels,120,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,76.9,88.76,88.13,79.53,58.08,59.16,73.46,40,low,0,12,6
Dark Angels,121,single,FULGURIS TASK FORCE,Dark Angels,1,,RECONNAISSANCE,76.76,87.37,86.49,94.53,70.99,0,91.27,10,low,0,1,5
Dark Angels,122,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,76.71,87.02,87.27,85.53,43.74,76.72,79.27,43.64,medium,0,11,6
Dark Angels,123,combination,COMPANY OF HUNTERS + DARKFLIGHT PURSUIT,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE,76.71,89.21,88.31,76.53,55.71,65.83,75.27,34.09,low,0,10,7
Dark Angels,124,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,76.55,88.63,88.12,85.53,46.65,63.94,79.27,46.36,medium,0,12,5
Dark Angels,125,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE,Dark Angels + Dark Angels,2,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,76.51,84.83,86.89,94.53,57.32,28.93,91.27,23.34,low,1,3,8
Dark Angels,126,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,PURGE THE FOE + RECONNAISSANCE,76.37,88.37,88.5,85.53,47.09,59.89,81.07,54.55,medium,0,15,2
Dark Angels,127,combination,DARK AGE ARSENAL + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,76.32,86.26,88.5,88.53,44.43,61.88,83.27,45.56,medium,1,12,5
Dark Angels,128,single,DARK AGE ARSENAL,Dark Angels,1,Dark Angels,PRIORITY ASSETS,76.26,83.42,86.35,94.53,43.65,57.85,91.27,36.67,low,1,2,3
Dark Angels,129,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,76.22,88.02,88,85.53,47.57,61.88,76.13,50,medium,0,15,3
Dark Angels,130,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,,RECONNAISSANCE + TAKE AND HOLD,76.18,88.63,88.12,85.53,44.82,63.9,79.27,50,medium,0,10,2
Dark Angels,131,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,76.09,87.91,88.18,85.53,47.99,57.92,79.27,43.64,medium,0,11,6
Dark Angels,132,combination,DARKFLIGHT PURSUIT + HEADHUNTER TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,76.09,89.72,88.31,76.53,52.14,65.72,75.27,28.64,low,0,8,9
Dark Angels,133,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE,75.9,89.29,87.68,79.53,64.37,36.71,73.46,33.33,low,0,10,8
Dark Angels,134,combination,COMPANY OF HUNTERS + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE,75.77,88.38,88.18,85.53,39.95,69.91,79.27,49.09,medium,0,13,4
Dark Angels,135,combination,DARKFLIGHT PURSUIT + LION’S BLADE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + RECONNAISSANCE,75.62,89.37,88.6,76.53,50.15,64.94,75.27,36.82,low,0,11,6
Dark Angels,136,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,75.54,88.63,87.92,82.53,57.03,38.87,80.6,23.33,low,0,7,11
Dark Angels,137,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,75.38,86.22,87.61,79.53,55.26,56,73.46,42.22,medium,1,11,6
Dark Angels,138,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,,DISRUPTION + RECONNAISSANCE,75.25,88.61,87.61,85.53,53.86,39.44,76.13,43.33,medium,0,13,5
Dark Angels,139,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,75.14,86.26,87.79,82.53,47.92,58.15,80.6,32.22,low,1,8,9
Dark Angels,140,combination,DARKFLIGHT PURSUIT + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE,75.07,89.41,88.01,76.53,51.57,57.98,75.27,39.55,low,0,12,5
Dark Angels,141,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,75.06,88.43,88.18,85.53,36.38,69.81,79.27,43.64,medium,0,11,6
Dark Angels,142,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,74.85,87.86,87.79,88.53,46.52,41.59,83.27,33.33,low,0,10,8
Dark Angels,143,combination,DARKFLIGHT PURSUIT + SUBVERSION ASSETS,Dark Angels + Dark Angels,2,Dark Angels,DISRUPTION + RECONNAISSANCE,74.8,88.25,87.19,72.03,61.06,55.07,64.56,45,medium,0,9,3
Dark Angels,144,combination,DARK AGE ARSENAL + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,74.64,85.16,87.48,85.53,44.75,58.72,76.13,52.22,medium,1,14,3
Dark Angels,145,combination,LIBRARIUS CONCLAVE + LION’S BLADE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + RECONNAISSANCE,74.63,88.75,88.12,85.53,34.39,69.03,79.27,51.82,medium,0,14,3
Dark Angels,146,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,74.38,85.15,87.65,88.53,37.41,60.88,83.27,42.22,medium,1,11,6
Dark Angels,147,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,74.32,87.79,87.4,76.53,50.05,58.31,75.27,30,low,0,6,6
Dark Angels,148,combination,DARKFLIGHT PURSUIT + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,74.15,89.47,88.98,76.53,45.87,59.03,72.6,43.33,medium,0,13,5
Dark Angels,149,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,,RECONNAISSANCE,74.04,88.15,87.88,85.53,35.8,62.07,79.27,54.55,medium,0,15,2
Dark Angels,150,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + FULGURIS TASK FORCE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,74.01,86.05,87.4,82.53,54.2,35.71,80.6,25.56,low,1,6,11
Dark Angels,151,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels,2,,DISRUPTION + RECONNAISSANCE,73.89,87.56,87.1,81.03,45.3,59.16,68.56,60,medium,0,12,0
Dark Angels,152,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,73.39,87.02,87.27,85.53,34.28,62.39,79.27,45,medium,0,9,3
Dark Angels,153,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,73.25,84.92,87.27,88.53,43.69,38.43,83.27,35.56,low,1,9,8
Dark Angels,154,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE,72.91,88.69,86.98,76.53,59.48,24.64,75.27,20,low,0,4,8
Dark Angels,155,combination,DARKFLIGHT PURSUIT + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE,72.43,88.61,87.61,73.53,46.19,55.86,65.46,50,medium,0,15,3
Dark Angels,156,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT,Dark Angels + Dark Angels,2,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,72.28,84.83,86.89,76.53,45.81,53.57,75.27,33.34,low,1,5,6
Dark Angels,157,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,72.03,87.86,87.79,76.53,38.85,58.02,72.6,40,low,0,12,6
Dark Angels,158,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,2,,RECONNAISSANCE,71.91,87.51,86.89,85.53,43.72,28.73,79.27,35,low,0,7,5
Dark Angels,159,combination,DARK AGE ARSENAL + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,71.26,83.66,86.73,85.53,30.05,57.65,79.27,48.34,medium,1,8,3
Dark Angels,160,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE,71.15,88.87,87.4,76.53,45.13,35.58,72.6,33.33,low,0,10,8
Dark Angels,161,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,70.43,84.92,87.27,76.53,36.02,54.86,72.6,42.22,medium,1,11,6
Dark Angels,162,single,DARKFLIGHT PURSUIT,Dark Angels,1,Dark Angels,RECONNAISSANCE,68.29,87.37,86.49,58.53,47.97,49.28,59.27,30,low,0,3,3
Dark Angels,163,combination,DARKFLIGHT PURSUIT + LIBRARIUS CONCLAVE,Dark Angels + Dark Angels,2,Dark Angels,RECONNAISSANCE,67.67,87.51,86.89,67.53,32.21,53.37,63.27,45,medium,0,9,3
Dark Angels,164,single,LIBRARIUS CONCLAVE,Dark Angels,1,,RECONNAISSANCE,66.52,86.16,86.35,76.53,16.44,57.45,67.27,60,medium,0,6,0
Blood Angels,1,single,LIBERATOR ASSAULT GROUP,Blood Angels,3,Blood Angels,TAKE AND HOLD,87.48,88.6,87.46,94.38,79.59,85.35,91.4,27.27,low,0,5,6
Blood Angels,2,single,FIRESTORM ASSAULT FORCE,Blood Angels,2,,PRIORITY ASSETS,86.9,87.98,87.25,94.38,77.6,85.21,91.4,43.64,medium,0,8,3
Blood Angels,3,single,IRONSTORM SPEARHEAD,Blood Angels,2,,TAKE AND HOLD,86.89,88.6,87.46,94.38,77.83,82.92,91.4,38.18,low,0,7,4
Blood Angels,4,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,TAKE AND HOLD,86.75,91.15,89.23,94.38,75.51,76.67,91.4,39.09,low,0,11,6
Blood Angels,5,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + TAKE AND HOLD,86.64,90.4,89.02,94.38,75.39,77.82,91.4,41.82,low,0,12,5
Blood Angels,6,single,RAGE-CURSED ONSLAUGHT,Blood Angels,3,Blood Angels,PURGE THE FOE,86.58,88.78,88.11,94.38,75.31,82.85,91.4,27.27,low,0,5,6
Blood Angels,7,combination,THE ANGELIC HOST + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,86.37,90.85,90.25,94.38,75.77,69.44,93.2,41.82,low,0,12,5
Blood Angels,8,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,TAKE AND HOLD,86.17,89.44,88.76,94.38,72.13,82.16,91.4,33.64,low,0,9,8
Blood Angels,9,single,ORBITAL ASSAULT FORCE,Blood Angels,2,,TAKE AND HOLD,86.15,86.93,86.88,94.38,71.07,93.89,91.4,27.27,low,0,5,6
Blood Angels,10,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,TAKE AND HOLD,86.01,91.15,89.23,94.38,75.04,70.21,91.4,36.36,low,0,10,7
Blood Angels,11,single,THE ANGELIC HOST,Blood Angels,2,Blood Angels,DISRUPTION,85.84,88.43,88.4,94.38,78.35,68.47,93.2,43.64,medium,0,8,3
Blood Angels,12,combination,BASTION TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,TAKE AND HOLD,85.65,90.37,89.67,94.38,76.38,64.41,91.4,33.64,low,0,9,8
Blood Angels,13,single,GLADIUS TASK FORCE,Blood Angels,3,,PRIORITY ASSETS,85.5,88.22,87.79,94.38,69.8,85.07,91.4,32.73,low,0,6,5
Blood Angels,14,single,ANVIL SIEGE FORCE,Blood Angels,2,,TAKE AND HOLD,85.41,88.6,87.46,94.38,76.9,70,91.4,32.73,low,0,6,5
Blood Angels,15,combination,ENCARMINE SPEARTIP + IRONSTORM SPEARHEAD,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,85.1,89.52,88.88,94.38,70.26,74.72,91.4,34.09,low,0,10,7
Blood Angels,16,combination,ENCARMINE SPEARTIP + FIRESTORM ASSAULT FORCE,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS,85.05,89.54,88.3,94.38,70.14,75.87,91.4,36.82,low,0,11,6
Blood Angels,17,combination,THE LOST BRETHREN + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + TAKE AND HOLD,84.94,90.41,89.67,94.38,74.16,61.64,91.4,33.64,low,0,9,8
Blood Angels,18,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,PURGE THE FOE + TAKE AND HOLD,84.88,90.83,89.66,94.38,72.42,62.82,93.2,44.55,medium,0,13,4
Blood Angels,19,combination,IRONSTORM SPEARHEAD + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + TAKE AND HOLD,84.82,87.34,89.23,94.38,76.47,63.06,91.4,47.43,medium,1,11,5
Blood Angels,20,combination,IRONSTORM SPEARHEAD + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + TAKE AND HOLD,84.81,89.52,88.76,94.38,74.39,63.96,91.4,34.09,low,0,10,7
Blood Angels,21,combination,FIRESTORM ASSAULT FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE,84.79,89.38,88.39,94.38,74.28,65.1,91.4,36.82,low,0,11,6
Blood Angels,22,single,BASTION TASK FORCE,Blood Angels,2,,TAKE AND HOLD,84.72,87.85,87.79,94.38,79.58,58.4,91.4,27.27,low,0,5,6
Blood Angels,23,single,VENGEFUL HOSTS,Blood Angels,1,,TAKE AND HOLD,84.71,88.6,87.46,94.38,73.19,70.42,91.4,40,low,0,4,2
Blood Angels,24,combination,STORMLANCE TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,DISRUPTION + TAKE AND HOLD,84.68,90.38,89.02,94.38,65.9,77.19,91.4,41.82,low,0,12,5
Blood Angels,25,combination,FIRESTORM ASSAULT FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS,84.61,86.1,89.02,94.38,76.36,64.21,91.4,50.16,medium,1,12,4
Blood Angels,26,single,ANGELIC INHERITORS,Blood Angels,3,Blood Angels,PRIORITY ASSETS,84.59,88.22,87.79,94.38,71.86,71.81,91.4,32.73,low,0,6,5
Blood Angels,27,combination,ENCARMINE SPEARTIP + THE ANGELIC HOST,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION,84.58,89.49,89.15,94.38,70.52,67.5,93.2,36.82,low,0,11,6
Blood Angels,28,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + TAKE AND HOLD,84.55,90.52,89.67,94.38,64.76,76.36,91.4,33.64,low,0,9,8
Blood Angels,29,combination,LEGACY OF GRACE + THE ANGELIC HOST,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS,84.38,86.75,90.25,94.38,76.73,55.84,93.2,50.16,medium,1,12,4
Blood Angels,30,combination,LEGACY OF GRACE + ORBITAL ASSAULT FORCE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + TAKE AND HOLD,84.37,86.29,88.76,94.38,73.09,68.55,91.4,41.97,medium,1,9,7
Blood Angels,31,combination,ANVIL SIEGE FORCE + ENCARMINE SPEARTIP,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,84.36,89.52,88.88,94.38,69.79,68.27,91.4,31.37,low,0,9,8
Blood Angels,32,combination,THE ANGELIC HOST + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,84.35,89.39,89.32,94.38,74.65,56.74,93.2,36.82,low,0,11,6
Blood Angels,33,combination,ENCARMINE SPEARTIP + ORBITAL ASSAULT FORCE,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,84.34,87.9,87.66,94.38,66.88,80.21,91.4,28.64,low,0,8,9
Blood Angels,34,combination,ORBITAL ASSAULT FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + TAKE AND HOLD,84.09,87.77,87.78,94.38,71.01,69.44,91.4,28.64,low,0,8,9
Blood Angels,35,combination,ANVIL SIEGE FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + TAKE AND HOLD,84.08,87.34,89.23,94.38,76.01,56.6,91.4,44.7,medium,1,10,6
Blood Angels,36,combination,ANVIL SIEGE FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + TAKE AND HOLD,84.08,89.52,88.76,94.38,73.93,57.5,91.4,31.37,low,0,9,8
Blood Angels,37,combination,ENCARMINE SPEARTIP + VENGEFUL HOSTS,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + TAKE AND HOLD,84.01,89.52,88.88,94.38,67.94,68.47,91.4,35,low,0,7,5
Blood Angels,38,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + TAKE AND HOLD,83.98,89.52,88.88,89.88,73.2,72.09,80.69,49.09,medium,0,13,4
Blood Angels,39,single,CERAMITE SENTINELS,Blood Angels,3,,TAKE AND HOLD,83.94,88.6,87.46,94.38,68.5,72.09,91.4,38.18,low,0,7,4
Blood Angels,40,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + PRIORITY ASSETS,83.93,89.54,88.3,89.88,73.08,73.23,80.69,51.82,medium,0,14,3
Blood Angels,41,combination,ENCARMINE SPEARTIP + LEGACY OF GRACE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + TAKE AND HOLD,83.91,88.47,90.8,94.38,70.33,60.05,91.4,42.22,medium,1,11,6
